Cantidad;PrecioUnitario;Total;NumeroBultos;Trimestre;Mes;Anio;Establecimiento;FormaPago;Discapacidad;EstadoContribuyente;Género;EstadoCivil;Ciudad;Instruccion;TipoPersona;Producto (Etiqueta)
30;15,85;475,5;30;2;5;2018;1;2;2;1;1;3;130;1;2;MAIZ SELECTO
10;14,5;142,1;9;2;5;2018;1;2;2;1;1;3;130;1;2;HARINA NORMAL
260;15,5;4030;260;2;5;2018;1;2;2;1;2;3;76;2;2;MAIZ AMARILLO NACIONAL
10;17,2;172;10;2;5;2018;1;2;2;1;2;1;39;3;2;MAIZ SELECTO
15;14,5;217,5;15;2;5;2018;1;2;2;1;2;1;39;3;2;HARINA NORMAL
70;15,5;1085;70;2;5;2018;1;2;2;1;1;3;81;1;2;MAIZ AMARILLO NACIONAL
176;18;3175,2;176;2;5;2018;1;1;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
6;15,5;91,14;5;2;5;2018;1;2;2;1;2;3;8;1;2;MAIZ AMARILLO NACIONAL
35;17,1;598,5;36;2;5;2018;1;2;2;1;2;3;8;1;2;MAIZ SELECTO
200;18;3600;200;2;5;2018;2;2;2;1;1;3;50;1;2;MAIZ SELECTO
30;16;480;30;2;5;2018;2;1;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
15;18,5;277,5;15;2;5;2018;2;1;2;1;1;3;50;1;2;MAIZ SELECTO
9;15,8;142,2;9;2;5;2018;2;1;2;1;1;3;74;1;2;MAIZ AMARILLO NACIONAL
241;15,6;3759,6;241;2;5;2018;2;1;2;1;1;3;74;1;2;MAIZ AMARILLO NACIONAL
4;15,5;62;4;2;5;2018;1;2;2;1;2;1;8;1;2;MAIZ AMARILLO NACIONAL
4;17,5;70;4;2;5;2018;1;2;2;1;2;1;8;1;2;MAIZ SELECTO
200;15,5;3100;200;2;5;2018;1;2;2;1;1;1;115;1;2;MAIZ AMARILLO NACIONAL
4;15,5;60,14;3;2;5;2018;1;2;2;3;1;3;50;2;2;MAIZ AMARILLO NACIONAL
10;18;176,4;9;2;5;2018;1;2;2;3;1;3;50;2;2;MAIZ SELECTO
7;17,2;120,4;7;2;5;2018;1;2;2;3;1;3;50;2;2;MAIZ SELECTO FINO
137;18;2469,6;137;2;5;2018;1;1;2;1;1;3;50;1;2;MAIZ SELECTO
332;15,7;5220,25;332;2;5;2018;1;2;2;1;1;1;151;1;2;MAIZ AMARILLO NACIONAL
142;14,5;2066,25;142;2;5;2018;1;2;2;1;1;1;151;1;2;HARINA NORMAL
15;17,5;262,5;15;2;5;2018;1;2;2;3;1;3;53;1;2;MAIZ SELECTO
4;15;60;4;2;5;2018;1;2;2;3;1;3;53;1;2;HARINA NORMAL
200;16;3200;200;2;5;2018;1;2;2;1;2;1;8;2;2;MAIZ AMARILLO NACIONAL
200;16;3200;200;2;5;2018;1;2;2;1;1;3;8;2;2;MAIZ AMARILLO NACIONAL
40;18,5;740;40;2;5;2018;2;1;2;1;1;3;54;1;1;MAIZ SELECTO
30;16,5;495;30;2;5;2018;2;1;2;1;1;3;54;1;1;MAIZ MOLIDO GRUESO
40;16;640;40;2;5;2018;1;2;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
60;18,5;1110;60;2;5;2018;1;2;2;1;1;3;50;1;2;MAIZ SELECTO
15;16,3;244,5;15;2;5;2018;2;1;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
20;18,5;370;20;2;5;2018;2;1;2;1;1;3;50;1;2;MAIZ SELECTO
150;16;2400;150;2;5;2018;1;2;2;1;1;3;8;2;2;MAIZ AMARILLO NACIONAL
50;16;800;50;2;5;2018;1;2;2;3;1;3;8;1;2;MAIZ AMARILLO NACIONAL
6;16;94,08;5;2;5;2018;1;2;2;1;1;3;8;1;2;MAIZ AMARILLO NACIONAL
28;17,5;490;28;2;5;2018;1;2;2;1;1;3;8;1;2;MAIZ SELECTO
2833;15,5;43906,23;2832;2;5;2018;1;2;2;1;1;3;38;2;1;MAIZ AMARILLO NACIONAL
608;15,5;9417,49;607;2;5;2018;2;1;2;1;1;3;38;2;1;MAIZ AMARILLO NACIONAL
27;15;400,2;26;2;5;2018;1;2;2;1;1;1;15;1;2;MAIZ AMARILLO NACIONAL
10;15;150;10;2;5;2018;1;2;2;1;1;3;90;1;2;HARINA NORMAL
1;16,2;16,2;1;2;5;2018;1;2;2;1;2;1;51;1;2;MAIZ AMARILLO NACIONAL
2;18,5;37;2;2;5;2018;1;2;2;1;2;1;51;1;2;MAIZ SELECTO
1;15;15;0;2;5;2018;1;2;2;1;2;1;51;1;2;HARINA NORMAL
264;15,5;4092;264;2;5;2018;1;2;2;1;2;1;39;3;2;MAIZ AMARILLO NACIONAL
44;18;792;44;2;5;2018;1;2;2;1;2;1;39;3;2;MAIZ SELECTO
45;17,5;785;44;2;5;2018;1;2;2;1;2;1;39;3;2;MAIZ SELECTO FINO
